보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
광덕면015,1,,충청남도 천안시 동남구 광덕면 매당리 278-7,36.71066184,127.1138172,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면016,1,,충청남도 천안시 동남구 광덕면 매당리 278-2,36.7108400008,127.1134033,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면017,1,,충청남도 천안시 동남구 광덕면 매당리 278-3,36.71021652,127.1133713,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면018,1,,충청남도 천안시 동남구 광덕면 매당리 277,36.71069214,127.113319,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면019,1,,충청남도 천안시 동남구 광덕면 대덕리 420,36.69524624,127.1015822,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면020,1,,충청남도 천안시 동남구 광덕면 매당리 240-2,36.70884323,127.1116144,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면021,1,,충청남도 천안시 동남구 광덕면 매당리 221-1,36.70672313,127.1106334,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면022,1,,충청남도 천안시 동남구 광덕면 대덕리 420-4,36.69780442,127.0932501,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면023,1,,충청남도 천안시 동남구 광덕면 매당리 63-5,36.70620728,127.1099415,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면024,1,,충청남도 천안시 동남구 광덕면 매당리 220-1,36.7067442492,127.1104048107,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면025,1,,충청남도 천안시 동남구 광덕면 매당리 62-2,36.70705996,127.1090347,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면026,1,,충청남도 천안시 동남구 광덕면 매당리 63-11,36.70657404,127.1088561,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면027,1,,충청남도 천안시 동남구 광덕면 매당리 220-2,36.70697296,127.1095241,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면028,1,,충청남도 천안시 동남구 광덕면 매당리 216-1,36.70764923,127.1087433,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면029,1,,충청남도 천안시 동남구 광덕면 매당리 216-1,36.70765123,127.1087433,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면030,1,,충청남도 천안시 동남구 광덕면 매당리 211-1,36.70869118,127.1076965,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면031,1,,충청남도 천안시 동남구 광덕면 매당리 209-2,36.70875248,127.1070735,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면032,1,,충청남도 천안시 동남구 광덕면 매당리 400-3,36.70884208,127.1064383,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면033,1,,충청남도 천안시 동남구 광덕면 매당리 398-2,36.70936752,127.1065647,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면034,1,,충청남도 천안시 동남구 광덕면 매당리 403-2,36.70962947,127.105951,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면035,1,,충청남도 천안시 동남구 광덕면 매당리 407-5,36.71024481,127.1060486,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면036,1,,충청남도 천안시 동남구 광덕면 매당리 403-4,36.7099253,127.105658,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면037,1,,충청남도 천안시 동남구 광덕면 매당리 403-5,36.70989051,127.1053526,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면038,1,,충청남도 천안시 동남구 광덕면 매당리 407-9,36.71041815,127.1051136,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면039,1,,충청남도 천안시 동남구 광덕면 매당리 407-1,36.71049197,127.1060791,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면040,1,,충청남도 천안시 동남구 광덕면 매당리 391-1,36.71143823,127.1062293,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면041,1,,충청남도 천안시 동남구 광덕면 매당리 387,36.71201387,127.106636,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면042,1,,충청남도 천안시 동남구 광덕면 매당리 387-8,36.71233431,127.1062095,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면043,1,,충청남도 천안시 동남구 광덕면 매당리 382-1,36.71332504,127.1053848,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면044,1,,충청남도 천안시 동남구 광덕면 매당리 382,36.71358049,127.1051559,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면045,1,,충청남도 천안시 동남구 광덕면 매당리 385-1,36.712883,127.1062807,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면046,1,,충청남도 천안시 동남구 광덕면 매당리 798-12,36.71142406,127.1069368,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면047,1,,충청남도 천안시 동남구 광덕면 매당리 380-1,36.71420809,127.1053409,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면048,1,,충청남도 천안시 동남구 광덕면 매당리 379-1,36.71513881,127.1047876,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면049,1,,충청남도 천안시 동남구 광덕면 매당리 63-8,36.70600013,127.1097336,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면050,1,,충청남도 천안시 동남구 광덕면 매당리 77-2,36.70499943,127.1080852,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면051,1,,충청남도 천안시 동남구 광덕면 매당리 64-1,36.70619656,127.1085184,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면052,1,,충청남도 천안시 동남구 광덕면 매당리 203-2,36.7065249,127.1078256,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면053,1,,충청남도 천안시 동남구 광덕면 매당리 429,36.70637992,127.1071099795,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면054,1,,충청남도 천안시 동남구 광덕면 매당리 431-4,36.70607376,127.1063333,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면055,1,,충청남도 천안시 동남구 광덕면 매당리 431-5,36.70586285,127.1062538,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면056,1,,충청남도 천안시 동남구 광덕면 매당리 432-3,36.70597573,127.1058784,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면057,1,,충청남도 천안시 동남구 광덕면 매당리 133-3,36.70434553,127.1068603,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면058,1,,충청남도 천안시 동남구 광덕면 매당리 436-1,36.7047506,127.1066408,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면059,1,,충청남도 천안시 동남구 광덕면 매당리 440-2,36.70380268,127.1064377,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면060,1,,충청남도 천안시 동남구 광덕면 매당리 439-4,36.70378737,127.1059507,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면061,1,,충청남도 천안시 동남구 광덕면 매당리 454-3,36.70372391,127.1055567,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면062,1,,충청남도 천안시 동남구 광덕면 매당리 454-2,36.70380836,127.1052558,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면063,1,,충청남도 천안시 동남구 광덕면 매당리 453-12,36.70354843,127.1058603,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면064,1,,충청남도 천안시 동남구 광덕면 매당리 453-3,36.70352811,127.1053848,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면065,1,,충청남도 천안시 동남구 광덕면 매당리 455-2,36.70310834,127.1046652,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면066,1,,충청남도 천안시 동남구 광덕면 매당리 450-2,36.70344097,127.1058597,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면067,1,,충청남도 천안시 동남구 광덕면 매당리 450-2,36.70344097,127.105835,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면068,1,,충청남도 천안시 동남구 광덕면 매당리 450,36.70327876,127.1056918,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면069,1,,충청남도 천안시 동남구 광덕면 매당리 456,36.70261765,127.1048908,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면070,1,,충청남도 천안시 동남구 광덕면 대덕리 420-4,36.69780442,127.0932501,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면071,1,,충청남도 천안시 동남구 광덕면 매당리 542-5,36.699594,127.0983505,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면072,1,,충청남도 천안시 동남구 광덕면 매당리 542-6,36.69947625,127.0984497,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면073,1,,충청남도 천안시 동남구 광덕면 매당리 542-10,36.6990874,127.098563,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면074,1,,충청남도 천안시 동남구 광덕면 매당리 571-3,36.70008107,127.0987922,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면075,1,,충청남도 천안시 동남구 광덕면 매당리 572-11,36.70033646,127.0987244,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면076,1,,충청남도 천안시 동남구 광덕면 매당리 572-5,36.70020524,127.0992276,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면077,1,,충청남도 천안시 동남구 광덕면 매당리 572-6,36.70011074,127.0993665,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면078,1,,충청남도 천안시 동남구 광덕면 매당리 572-10,36.70059304,127.0986287,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면079,1,,충청남도 천안시 동남구 광덕면 매당리 592-2,36.70234389,127.0975342,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면080,1,,충청남도 천안시 동남구 광덕면 매당리 732-3,36.70358276,127.0956267,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면081,1,,충청남도 천안시 동남구 광덕면 매당리 736-2,36.70314601,127.0946567,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면082,1,,충청남도 천안시 동남구 광덕면 매당리 733,36.70397236,127.0950803,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면083,1,,충청남도 천안시 동남구 광덕면 매당리 599-1,36.70407424,127.0963563,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면084,1,,충청남도 천안시 동남구 광덕면 매당리 601-1,36.70523136,127.095967,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면085,1,,충청남도 천안시 동남구 광덕면 매당리 723-2,36.70582097,127.0953903,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면086,1,,충청남도 천안시 동남구 광덕면 매당리 604-2,36.70586534,127.0960002,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면087,1,,충청남도 천안시 동남구 광덕면 매당리 709-9,36.70725368,127.0948941,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면088,1,,충청남도 천안시 동남구 광덕면 매당리 677,36.70726561,127.093271,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면089,1,,충청남도 천안시 동남구 광덕면 매당리 678,36.70731121,127.0929379,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면090,1,,충청남도 천안시 동남구 광덕면 매당리 709-2,36.7074702,127.0948236,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면091,1,,충청남도 천안시 동남구 광덕면 매당리 705-2,36.7078975101,127.0950546537,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면092,1,,충청남도 천안시 동남구 광덕면 매당리 705-5,36.70865329,127.0941391,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면093,1,,충청남도 천안시 동남구 광덕면 매당리 701-1,36.70872879,127.0936975,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면094,1,,충청남도 천안시 동남구 광덕면 매당리 647-1,36.7089781,127.0932912,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면095,1,,충청남도 천안시 동남구 광덕면 매당리 646-2,36.70923033,127.0936848,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면096,1,,충청남도 천안시 동남구 광덕면 매당리 637-2,36.71116766,127.0938617,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면097,1,,충청남도 천안시 동남구 광덕면 매당리 631-1,36.71173859,127.0928802,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면098,1,,충청남도 천안시 동남구 광덕면 매당리 653-5,36.7094403775,127.0924753349,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면099,1,,충청남도 천안시 동남구 광덕면 매당리 653-4,36.70992446,127.0922623,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면100,1,,충청남도 천안시 동남구 광덕면 매당리 665,36.70867081,127.0910354,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1000,1,,충청남도 천안시 동남구 광덕면 신흥리 141-6,36.69916784,127.114975,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1001,1,,충청남도 천안시 동남구 광덕면 신흥리 141-8,36.69874303,127.1149944,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1002,1,,충청남도 천안시 동남구 광덕면 신흥리 144,36.69815275,127.1149486,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1003,1,,충청남도 천안시 동남구 광덕면 신흥리 141-1,36.69874303,127.1149944,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1004,1,,충청남도 천안시 동남구 광덕면 신흥리 141-7,36.69877245,127.1154168,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1005,1,,충청남도 천안시 동남구 광덕면 신흥리 142,36.6983857326,127.1152771440,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1006,1,,충청남도 천안시 동남구 광덕면 신흥리 143-2,36.698505,127.115603,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1007,1,,충청남도 천안시 동남구 광덕면 신흥리 143-10,36.69793184,127.1159211,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1008,1,,충청남도 천안시 동남구 광덕면 신흥리 143-7,36.69805688,127.1153088,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1009,1,,충청남도 천안시 동남구 광덕면 신흥리 163-4,36.69764275,127.1162028,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면101,1,,충청남도 천안시 동남구 광덕면 원덕리 154-3,36.6509298248,127.1371571094,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1010,1,,충청남도 천안시 동남구 광덕면 신흥리 160,36.69696461,127.116064,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1011,1,,충청남도 천안시 동남구 광덕면 신흥리 110-1,36.69947671,127.1156669,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1012,1,,충청남도 천안시 동남구 광덕면 신흥리 122,36.70061814,127.1147668,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1013,1,,충청남도 천안시 동남구 광덕면 신흥리 106-5,36.69986615,127.1145761,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1014,1,,충청남도 천안시 동남구 광덕면 신흥리 102,36.70007609,127.1138452,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1015,1,,충청남도 천안시 동남구 광덕면 신흥리 100-6,36.69975983,127.1129631,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1016,1,,충청남도 천안시 동남구 광덕면 신흥리 98-3,36.70059606,127.1140223,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1017,1,,충청남도 천안시 동남구 광덕면 신흥리 97-2,36.70130751,127.1137286,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1018,1,,충청남도 천안시 동남구 광덕면 신흥리 408-37,36.70205622,127.1137592,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1019,1,,충청남도 천안시 동남구 광덕면 신흥리 306-14,36.70107287,127.1130491,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면102,1,,충청남도 천안시 동남구 광덕면 원덕리 151,36.65039104,127.137764,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1020,1,,충청남도 천안시 동남구 광덕면 신흥리 408-14,36.70180154,127.1133081,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1021,1,,충청남도 천안시 동남구 광덕면 신흥리 318-1,36.69846774,127.1101358,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1022,1,,충청남도 천안시 동남구 광덕면 신흥리 318-1,36.69846774,127.1101358,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1023,1,,충청남도 천안시 동남구 광덕면 신흥리 284-5,36.69762335,127.1103579,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1024,1,,충청남도 천안시 동남구 광덕면 신흥리 249-1,36.69647992,127.1104487,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1025,1,,충청남도 천안시 동남구 광덕면 신흥리 247,36.69615645,127.1099246,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1026,1,,충청남도 천안시 동남구 광덕면 신흥리 246,36.6961706,127.1092365,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1027,1,,충청남도 천안시 동남구 광덕면 신흥리 235-6,36.69562763,127.1091768,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1028,1,,충청남도 천안시 동남구 광덕면 신흥리 236-2,36.69524944,127.1085765,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1029,1,,충청남도 천안시 동남구 광덕면 신흥리 234-2,36.69508201,127.1069079,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면103,1,,충청남도 천안시 동남구 광덕면 원덕리 147,36.64987059,127.1378989,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1030,1,,충청남도 천안시 동남구 광덕면 신흥리 240-5,36.69505535,127.1103244,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1031,1,,충청남도 천안시 동남구 광덕면 신흥리 251-1,36.69583037,127.1112413,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1032,1,,충청남도 천안시 동남구 광덕면 신흥리 242-30,36.6950972942,127.1110526932,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1033,1,,충청남도 천안시 동남구 광덕면 신흥리 212-2,36.6943428,127.110743,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1034,1,,충청남도 천안시 동남구 광덕면 신흥리 240-8,36.69465634,127.1105049,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1035,1,,충청남도 천안시 동남구 광덕면 신흥리 212-4,36.69403088,127.1105272,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1036,1,,충청남도 천안시 동남구 광덕면 신흥리 229-1,36.69389202,127.1099114,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1037,1,,충청남도 천안시 동남구 광덕면 신흥리 228-1,36.69361272,127.1096581,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1038,1,,충청남도 천안시 동남구 광덕면 신흥리 213-1,36.69338551,127.1096991,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1039,1,,충청남도 천안시 동남구 광덕면 신흥리 214-1,36.69280688,127.109319,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면104,1,,충청남도 천안시 동남구 광덕면 원덕리 146-1,36.64926607,127.1394996,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1040,1,,충청남도 천안시 동남구 광덕면 신흥리 198-3,36.69408559,127.1115421,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1041,1,,충청남도 천안시 동남구 광덕면 신흥리 195-1,36.69398148,127.1121557,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1042,1,,충청남도 천안시 동남구 광덕면 신흥리 196,36.69325834,127.112136,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1043,1,,충청남도 천안시 동남구 광덕면 신흥리 196,36.69325834,127.112136,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1044,1,,충청남도 천안시 동남구 광덕면 무학리 187-5,36.6914893,127.1127115,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1045,1,,충청남도 천안시 동남구 광덕면 무학리 200,36.69056112,127.1141797,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1046,1,,충청남도 천안시 동남구 광덕면 무학리 219-1,36.68792451,127.1162021,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1047,1,,충청남도 천안시 동남구 광덕면 무학리 212-3,36.6891373,127.1172971,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1048,1,,충청남도 천안시 동남구 광덕면 무학리 154,36.69402035,127.1179066,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1049,1,,충청남도 천안시 동남구 광덕면 무학리 304-1,36.68661068,127.1154682,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면105,1,,충청남도 천안시 동남구 광덕면 원덕리 산 24-5,36.6490048706,127.1390292860,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1050,1,,충청남도 천안시 동남구 광덕면 무학리 316-7,36.68478072,127.1175054,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1051,1,,충청남도 천안시 동남구 광덕면 무학리 434,36.68419976,127.1202441,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1052,1,,충청남도 천안시 동남구 광덕면 무학리 334,36.68397775,127.1194074,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1053,1,,충청남도 천안시 동남구 광덕면 무학리 322-2,36.68441898,127.119728,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1054,1,,충청남도 천안시 동남구 광덕면 무학리 323,36.68455885,127.1199804,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1055,1,,충청남도 천안시 동남구 광덕면 무학리 324-2,36.68474221,127.1200919,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1056,1,,충청남도 천안시 동남구 광덕면 무학리 327,36.6840036061,127.1210200252,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1057,1,,충청남도 천안시 동남구 광덕면 무학리 327,36.6840036061,127.1210200252,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1058,1,,충청남도 천안시 동남구 광덕면 무학리 327,36.6840036061,127.1210200252,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1059,1,,충청남도 천안시 동남구 광덕면 무학리 327,36.6840036061,127.1210200252,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면106,1,,충청남도 천안시 동남구 광덕면 원덕리 산 25-3,36.6481671128,127.1390260125,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1060,1,,충청남도 천안시 동남구 광덕면 무학리 327,36.6840036061,127.1210200252,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1061,1,,충청남도 천안시 동남구 광덕면 무학리 330-2,36.68380158,127.119947,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1062,1,,충청남도 천안시 동남구 광덕면 무학리 332,36.68382707,127.1195127,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
광덕면1063,1,,충청남도 천안시 동남구 광덕면 무학리 286-1,36.68458731,127.1149342,,,041-521-4441,충청남도 천안시 동남구청 건설과,2024-07-31
